,fluxes
11OXPENT,0.0
23PDE2e,0.0
23PDE4e,0.0
23PDE7e,0.0
23PDE9e,0.0
24DCLPMO,0.0
24DHX5M6OI,0.0
25DBUT,0.0
2ABZMOx,0.0
2ABZMOy,0.0
2AMUCSAD,0.0
2CLRED,0.0
2DHGLCK,0.0
2K3DRHAM,0.0
2MBCOATA,0.03632398416974894
2OGLUAH,0.0
2OH3EDISO,0.0
2OXOADOX,0.0
33BIFLAV,0.0
34HPPOR,0.0
36AHDGALC,0.0
38BIFLAVS,0.0
38DPCLOR,0.0
3AIBUTS,0.0
3CLBZDH,0.0
3CTHPPT,0.0
3HBCOADH,0.0
3HCINNMH,0.0
3HPPPNH,0.0
3K5AHC,0.0
3MBZDH,0.0
3NTD2e,0.0
3NTD4e,0.0
3NTD7e,0.0
3NTD9e,0.0
3OAR100,0.0269178690098471
3OAR110,0.0010922229976834258
3OAR120,0.02177504212961184
3OAR121,0.005142826880235259
3OAR130,0.0010922229976834258
3OAR140,0.02177504212961184
3OAR141,0.005142826880235259
3OAR150,0.0010922229976834258
3OAR160,0.020023349803374325
3OAR161,0.005142826880235259
3OAR170,0.0
3OAR180,0.0
3OAR181,0.0
3OAR40,0.0
3OAR50,0.0010922229976834258
3OAR60,0.02694909299941103
3OAR70,0.0010922229976834258
3OAR80,0.02694909299941103
3OAR90,0.0010922229976834258
3OARai110,0.03632398416974894
3OARai130,0.03632398416974894
3OARai150,0.03632398416974894
3OARai170,0.01739581131401806
3OARai70,0.03632398416974894
3OARai90,0.03632398416974894
3OARi100,0.026037591921788446
3OARi110,0.01903451505428831
3OARi120,0.026037591921788446
3OARi130,0.01903451505428831
3OARi140,0.026037591921788446
3OARi150,0.01903451505428831
3OARi160,0.0222092727737213
3OARi170,0.008093822890203682
3OARi180,0.0
3OARi60,0.026037591921788446
3OARi70,0.01903451505428831
3OARi80,0.026037591921788446
3OARi90,0.01903451505428831
3OAS100,0.0269178690098471
3OAS110,0.0010922229976834258
3OAS120,0.02177504212961184
3OAS121,0.005142826880235259
3OAS130,0.0010922229976834258
3OAS140,0.02177504212961184
3OAS141,0.005142826880235259
3OAS150,0.0010922229976834258
3OAS160,0.020023349803374325
3OAS161,0.005142826880235259
3OAS170,0.0
3OAS180,0.0
3OAS181,0.0
3OAS50,0.0010922229976834258
3OAS60,0.02694909299941103
3OAS70,0.0010922229976834258
3OAS80,0.02694909299941103
3OAS90,0.0010922229976834258
3OASai110,0.03632398416974894
3OASai130,0.03632398416974894
3OASai150,0.03632398416974894
3OASai170,0.01739581131401806
3OASai70,0.03632398416974894
3OASai90,0.03632398416974894
3OASi100,0.026037591921788446
3OASi110,0.01903451505428831
3OASi120,0.026037591921788446
3OASi130,0.01903451505428831
3OASi140,0.026037591921788446
3OASi150,0.01903451505428831
3OASi160,0.0222092727737213
3OASi170,0.008093822890203682
3OASi180,0.0
3OASi60,0.026037591921788446
3OASi70,0.01903451505428831
3OASi80,0.026037591921788446
3OASi90,0.01903451505428831
3OCHOCDH,0.0
3OXCOADH,0.0
3OXCOAT,0.0
45DOPA,0.0
4HDAPMO,0.0
