,Reaction ID,Name,Reaction String,Reference
0,HEX4,hexokinase (D-mannose:ATP),atp_c + man_c --> adp_c + h_c + man6p_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'HEX4', 'biocyc': 'META:MANNKIN-RXN', 'ec-code': '2.7.1.7', 'kegg.reaction': 'R01326', 'origin': 'iMK1208', 'rhea': '11031', 'subsystem': 'Carbohydrate metabolism', 'metanetx.reaction': ['MNXR140113', 'MNXR138046'], 'pathway': 'Fructose and mannose metabolism'}"
1,FBA4,L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming),xu1p__D_c <=> dhap_c + gcald_c,"{'sbo': 'SBO:0000176', 'ec-code': '4.1.2.19', 'origin': 'Sco4', 'kegg.reaction': 'R01785', 'biocyc': 'META:R01785', 'bigg.reaction': 'FBA4', 'metanetx.reaction': 'MNXR99462', 'pathway': 'Alternate Carbon metabolism', 'subsystem': 'Carbohydrate metabolism'}"
2,PPRDNDH,Piperideine dehydrogenase,2.0 h2o_c + nad_c + pprdn_c --> 5aptn_c + h_c + nadh_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'PPRDNDH', 'biocyc': 'META:RXN-10854', 'origin': 'iMK1208', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': 'MNXR103138', 'doi': '10.1128/jb.171.1.299-302.1989', 'pathway': 'Lysine degradation'}"
3,2METBOD,2-methylisoborneol synthase,2mygydpp_c + h2o_c --> 2mborn_c + ppi_c,"{'sbo': 'SBO:0000176', 'ec-code': '4.2.3.118', 'rhea': '32574', 'origin': 'Sco4', 'biocyc': 'META:RXN-12976', 'bigg.reaction': '2METBOD', 'metanetx.reaction': 'MNXR113366', 'pathway': '2-methylisoborneol synthase', 'subsystem': 'Metabolism of terpenoids and polyketides'}"
4,NO2t2r,"nitrite transport in via proton symport, reversible",h_e + no2_e <=> h_c + no2_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'NO2t2r', 'biocyc': 'META:TRANS-RXN-26', 'origin': 'iMK1208', 'subsystem': 'Inorganic Ion Transport and metabolism', 'metanetx.reaction': ['MNXR101984', 'MNXR101985']}"
5,5DGLCNR,5-dehydro-D-gluconate reductase,5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': '5DGLCNR', 'biocyc': 'META:RXN-14367', 'ec-code': '1.1.1.69', 'kegg.reaction': 'R01740', 'origin': 'iMK1208', 'rhea': '23939', 'subsystem': 'Carbohydrate metabolism', 'metanetx.reaction': 'MNXR95065', 'pathway': 'Alternate Carbon metabolism'}"
6,GERDPM,geranyl diphosphate 2-C-methyltransferase,amet_c + grdp_c --> 2mygydpp_c + ahcys_c + h_c,"{'sbo': 'SBO:0000176', 'ec-code': '2.1.1.255', 'rhea': '32522', 'origin': 'Sco4', 'biocyc': 'META:RXN-12975', 'bigg.reaction': 'GERDPM', 'metanetx.reaction': 'MNXR113337', 'pathway': '2-methylisoborneol synthase', 'subsystem': 'Metabolism of terpenoids and polyketides'}"
7,EX_h2s_e,Hydrogen sulfide exchange,h2s_e --> ,"{'sbo': 'SBO:0000627', 'bigg.reaction': 'EX_h2s_e', 'origin': 'iMK1208', 'subsystem': 'Exchange', 'metanetx.reaction': 'MNXR98642'}"
8,MACACI,maleylacetoacetate isomerase,4mlacac_c <=> 4fumacac_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'MACACI', 'biocyc': 'META:MALEYLACETOACETATE-ISOMERASE-RXN', 'ec-code': '5.2.1.2', 'kegg.reaction': 'R03181', 'origin': 'iMK1208', 'rhea': '14820', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': 'MNXR101325', 'pathway': 'Tyrosine metabolism'}"
9,H2St1,h2s transport,h2s_e <=> h2s_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'H2St1', 'origin': 'iMK1208', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR100494'}"
10,ACONIs,aconitate isomerase (spontaneous),acon_T_c <=> acon_C_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'ACONIs', 'biocyc': 'META:ACONITATE-DELTA-ISOMERASE-RXN', 'ec-code': '5.3.3.7', 'kegg.reaction': 'R02244', 'origin': 'iMK1208', 'rhea': '17268', 'subsystem': 'Carbohydrate metabolism', 'metanetx.reaction': 'MNXR95382', 'pathway': 'C5-Branched dibasic acid metabolism'}"
11,APTNAT,5-aminopentanoate:2-oxoglutarate aminotransferase,5aptn_c + akg_c <=> glu__L_c + oxptn_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'APTNAT', 'biocyc': 'META:VAGL-RXN', 'ec-code': '2.6.1.48', 'kegg.reaction': 'R02274', 'origin': 'iMK1208', 'rhea': '10215', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': 'MNXR95904', 'pathway': 'Lysine degradation'}"
12,MANpts,D-mannose transport via PEP:PTS,man_e + pep_c --> man6p_c + pyr_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'MANpts', 'ec-code': '2.7.1.69', 'origin': 'iMA789', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR138580', 'pathway': 'Fructose and mannose metabolism'}"
13,EX_citr__L_e,citrulline transport via facilitated diffusion,citr__L_e --> ,"{'sbo': 'SBO:0000627', 'bigg.reaction': 'EX_citr__L_e', 'origin': 'iMA789', 'subsystem': 'Exchange', 'metanetx.reaction': 'MNXR98348'}"
14,LYXI,Lyxose isomerase,lyx__L_c <=> xylu__L_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'LYXI', 'ec-code': '5.3.1.-', 'kegg.reaction': 'R01906', 'origin': 'iMK1208', 'subsystem': 'Carbohydrate metabolism', 'metanetx.reaction': 'MNXR138561', 'pathway': 'Pentose and glucuronate interconversions'}"
15,DM_2mborn_c,Sink needed to allow 2-methylisoborneol to leave system,2mborn_c --> ,"{'sbo': 'SBO:0000628', 'origin': 'Sco4', 'biocyc': 'META:EXC_OUT_CPD-14016', 'bigg.reaction': 'DM_2mborn_c', 'subsystem': 'Exchange'}"
16,CITRLt,citrulline transport via facilitated diffusion,citr__L_c <=> citr__L_e,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'CITRLt', 'origin': 'iMA789', 'subsystem': 'Membrane transport'}"
17,KHK2,ATP:L-xylulose 1-phosphotransferase,atp_c + xylu__L_c --> adp_c + xu1p__D_c,"{'sbo': 'SBO:0000176', 'ec-code': '2.7.1.5', 'origin': 'Sco4', 'kegg.reaction': 'R01902', 'biocyc': 'META:R01902', 'bigg.reaction': 'KHK2', 'metanetx.reaction': ['MNXR100937', 'MNXR139076'], 'pathway': 'Fructose and mannose metabolism', 'subsystem': 'Carbohydrate metabolism'}"
18,DAPAT,Cadaverine aminotranferase,15dap_c + akg_c --> glu__L_c + h2o_c + h_c + pprdn_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'DAPAT', 'origin': 'iMK1208', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': 'MNXR97139', 'pathway': 'Lysine degradation'}"
19,DTDP26DGR,"dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose reductase",dtdp26ddgh2e2u_c + h_c --> dtdp34dh26doglc_c,"{'sbo': 'SBO:0000176', 'origin': 'Sco4', 'biocyc': 'META:RXN-12943', 'bigg.reaction': 'DTDP26DGR', 'metanetx.reaction': 'MNXR128737', 'pathway': 'Amino sugar and nucleotide sugar metabolism', 'subsystem': 'Carbohydrate metabolism'}"
20,ARAI,L-arabinose isomerase,arab__L_c <=> rbl__L_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'ARAI', 'biocyc': 'META:ARABISOM-RXN', 'ec-code': '5.3.1.4', 'kegg.reaction': 'R01761', 'origin': 'iMK1208', 'rhea': '14824', 'subsystem': 'Carbohydrate metabolism', 'metanetx.reaction': 'MNXR107160', 'pathway': 'L-Arabinose-Degradation'}"
